ID,Sample,Site,Type,Date,DOY,Year,DOC,TDN,TheorAlk,Na,NH4,K,Mg,Ca,Cl,NO3,PO4,SO4,NO3N,NH4N,DIN,DON,Ca,Mg,Na,K,NH4,CL,NO3,PO4,SO4,ANIONS,CATIONS,ION,DIFF,BASES,ACIDS,ALK,Location,SType,JulianDOY,pH,Water T,conductivity,cond T,Temp Corrected,d2H,d18O
RICK_28,28,Lake Agnes,NORMAL,8/30/2019,242,2019,0.3863,0.3823,1219.231925,1.053,0.008,0.382,4.933,18.51,0.144,1.496,0,6.615,0.3379464,0.006212,0.3441584,0.0381416,923.6526946,405.9247069,45.80298107,9.770245765,0.443500773,4.061715511,24.12712544,0,137.7298621,165.918703,1385.594129,1551.512832,-78.61201021,1385.150628,165.918703,1219.231925,WG2,RG,19242,7.96,1.8,135.6,1.3,1.1,-118.6648787,-16.76411127
RICK_29,29,Lake Agnes,NORMAL,8/30/2019,242,2019,0.2083,0.4903,1029.241212,1.18,0.008,0.95,3.978,16.64,0.8296,2.156,0,7.007,0.4870404,0.006212,0.4932524,-0.0029524,830.3393214,327.3400535,51.32717726,24.29773161,0.443500773,23.39999436,34.77144548,0,145.8916317,204.0630715,1233.747784,1437.810856,-71.61475438,1233.304284,204.0630715,1029.241212,EG3,RG,19242,8.35,2.5,124,2.1,1.9,-117.1499977,-16.5807486
RICK_30,30,Lake Agnes,NORMAL,8/30/2019,242,2019,0.3806,0.4324,509.0746066,0.696,0.005,0.188,1.206,9.394,0.158,1.885,0,2.841,0.4258215,0.0038825,0.429704,0.002696,468.762475,99.23883974,30.27433506,4.808393204,0.277187983,4.456604519,30.40082316,0,59.15200879,94.00943647,603.361231,697.3706675,-73.03888998,603.0840431,94.00943647,509.0746066,G3,Mixed,19242,,,,,,,
RICK_31,31,Lake Agnes,NORMAL,8/30/2019,242,2019,0.5132,0.1099,391.8609262,0.621,0.006,0.179,0.555,7.507,0.032,0.34,0,2.575,0.076806,0.004659,0.081465,0.028435,374.6007984,45.66961531,27.01201447,4.578204167,0.33262558,0.902603447,5.483437599,0,53.61366513,59.99970618,452.1932579,512.1929641,-76.5714446,451.8606324,59.99970618,391.8609262,F,NRG,19242,7.63,10.2,34.1,9.8,9.6,-119.6913767,-16.7864712
RICK_32,32,Lake Agnes,NORMAL,8/30/2019,242,2019,0.3777,0.2588,446.131174,0.717,0.004,0.188,0.972,9.457,0.103,1.119,0,5.802,0.2527821,0.003106,0.2558881,0.0029119,471.9061876,79.98354248,31.18778483,4.808393204,0.221750387,2.905254844,18.0469608,0,120.8025185,141.7547341,588.1076585,729.8623927,-61.15576427,587.8859081,141.7547341,446.131174,O,Outlet,19242,7.6,7.2,49.6,6.8,6.6,-118.68181,-16.6397818
RICK_34,34,Lake Agnes,NORMAL,9/16/2019,259,2019,0.3061,0.2579,453.5992379,0.751,0,0.186,0.936,9.798,0.1229,1.1225,0,6.1572,0.25357275,0,0.25357275,0.00432725,488.9221557,77.02118906,32.66670349,4.757240085,0,3.466561363,18.10340796,0,128.1980812,149.7680505,603.3672883,753.1353388,-60.22811764,603.3672883,149.7680505,453.5992379,O,Outlet,19259,7.58,7.1,51.3,6.7,6.5,-118.0773727,-16.5786064
RICK_35,35,Lake Agnes,NORMAL,9/16/2019,259,2019,0.345,0.4696,553.4722598,0.827,0.005,0.179,1.416,10.763,0.1165,2.0534,0,5.008,0.46386306,0.0038825,0.46774556,0.00185444,537.0758483,116.5192347,35.97252169,4.578204167,0.277187983,3.286040674,33.11673755,0,104.2707709,140.6735491,694.4229969,835.096546,-66.30963216,694.1458089,140.6735491,553.4722598,EG2,Mixed,19259,7.55,2.4,61.6,1.8,1.6,-112.6348313,-16.0023736
RICK_36,36,Lake Agnes,NORMAL,9/16/2019,259,2019,0.2771,0.487,623.4241172,0.709,0,0.192,2.061,11.182,0.1162,2.1124,0,4.9258,0.47719116,0,0.47719116,0.00980884,557.9840319,169.5947336,30.83980396,4.910699442,0,3.277578766,34.06827525,0,102.5592978,139.9051518,763.3292689,903.2344207,-69.02129756,763.3292689,139.9051518,623.4241172,G2,Mixed,19259,7.56,2.5,68.4,1.7,1.5,-113.6597043,-16.1740594
RICK_37,37,Lake Agnes,NORMAL,9/16/2019,259,2019,0.2197,0.4227,1601.173214,1.05,0,0.352,8.614,20.436,0.1355,1.8389,0,7.1375,0.41540751,0,0.41540751,0.00729249,1019.760479,708.8253446,45.67248824,9.002948977,0,3.82196147,29.65733353,0,148.6087514,182.0880464,1783.261261,1965.349307,-81.47015945,1783.261261,182.0880464,1601.173214,WG2,RG,19259,7.89,1.4,146.8,1,0.8,-117.927566,-16.7275981
RICK_38,38,Lake Agnes,NORMAL,9/16/2019,259,2019,0.4556,0.3093,1229.734911,1.187,0.007,0.227,5.472,18.072,0.181,1.3196,0,7.3671,0.29809764,0.0054355,0.30353314,0.00576686,901.7964072,450.2777206,51.63166052,5.805879028,0.388063177,5.105350746,21.28218899,0,153.3892165,179.7767562,1409.899731,1589.676487,-77.38196951,1409.511667,179.7767562,1229.734911,EG3,RG,19259,8.18,2.1,127.6,1.7,1.5,-116.0299063,-16.4523088
